Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.4854,0.5,0.0,0.4854,0.011356002,0.001,0.002
1,0.9876,0.001,0.0,0.0,0.0114,0.9886,1.65,0.9886,1.4886,1.65,1.4886,0.9886,1.5553,0.9318,1.4886,1.5553,1.4173,4.80922E-4,0.001,0.002
2,0.9862,0.002,0.0,0.0,0.0118,0.9882,3.2835,0.9881,2.4768,4.9335,2.4767,0.9882,3.0049,0.9042,2.4768,4.5602,2.3215,3.3497E-4,0.001,0.002
3,0.9849,0.003,0.0,0.0,0.0122,0.9878,4.9177,0.9877,3.4646,9.8512,3.4644,0.9878,4.3694,0.8775,3.4646,8.9295,3.1991,2.70402E-4,0.001,0.002
4,0.9836,0.0039,0.0,0.0,0.0124,0.9876,6.5521,0.9874,4.4522,16.4033,4.4517,0.9876,5.6519,0.8517,4.4522,14.5814,4.0508,2.3298E-4,0.001,0.002
5,0.9824,0.0049,0.0,0.0,0.0127,0.9873,8.1858,0.9871,5.4396,24.5891,5.4388,0.9873,6.8555,0.8267,5.4396,21.4369,4.8774,2.10125E-4,0.001,0.002
6,0.9812,0.0059,0.0,0.0,0.0129,0.9871,9.8183,0.9868,6.4267,34.4074,6.4256,0.9871,7.9832,0.8024,6.4267,29.42,5.6798,1.99389E-4,0.001,0.002
7,0.98,0.0069,0.0,0.0,0.0131,0.9869,11.449,0.9866,7.4136,45.8564,7.4122,0.9869,9.0379,0.7788,7.4136,38.458,6.4586,2.02208E-4,0.001,0.002
8,0.9789,0.0078,0.0,0.0,0.0133,0.9867,13.0772,0.9863,8.4003,58.9337,8.3985,0.9867,10.0226,0.7559,8.4003,48.4806,7.2146,2.21035E-4,0.001,0.002
9,0.9777,0.0088,0.0,0.0,0.0135,0.9865,14.7024,0.9861,9.3868,73.6361,9.3846,0.9865,10.94,0.7337,9.3868,59.4206,7.9483,2.57588E-4,0.001,0.002
10,0.9764,0.0098,1.0E-4,0.0,0.0137,0.9862,16.3238,0.9857,10.3731,89.9598,10.3703,0.9862,11.7927,0.7121,10.3731,71.2132,8.6604,3.1199E-4,0.001,0.002
11,0.9752,0.0107,1.0E-4,0.0,0.014,0.9859,17.9406,0.9854,11.359,107.9005,11.3557,0.9859,12.5832,0.6911,11.359,83.7964,9.3515,3.82644E-4,0.001,0.002
12,0.9738,0.0117,1.0E-4,0.0,0.0144,0.9855,19.5521,0.9849,12.3445,127.4525,12.3407,0.9855,13.314,0.6707,12.3445,97.1104,10.0222,4.66559E-4,0.001,0.002
13,0.9724,0.0126,1.0E-4,1.0E-4,0.0149,0.9851,21.1573,0.9844,13.3296,148.6099,13.3251,0.9851,13.9875,0.6508,13.3296,111.0979,10.6731,5.59891E-4,0.001,0.002
14,0.9709,0.0136,1.0E-4,1.0E-4,0.0154,0.9845,22.7557,0.9838,14.3141,171.3655,14.3089,0.9845,14.606,0.6315,14.3141,125.7039,11.3045,6.58481E-4,0.001,0.002
