Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.4854,0.5,0.0,0.4854,0.011356002,0.001,0.002
1,0.9876,0.001,0.0,0.0,0.0114,0.9886,1.0,0.9886,1.4886,1.0,1.4886,0.9886,0.9426,0.9318,1.4886,0.9426,1.4173,4.80922E-4,0.001,0.002
2,0.9862,0.002,0.0,0.0,0.0118,0.9882,1.9937,0.9881,2.4768,2.9937,2.4767,0.9882,1.8245,0.9042,2.4768,2.7671,2.3215,3.3497E-4,0.001,0.002
3,0.9849,0.003,0.0,0.0,0.0122,0.9878,2.9908,0.9877,3.4646,5.9845,3.4644,0.9878,2.6573,0.8775,3.4646,5.4244,3.1991,2.70402E-4,0.001,0.002
4,0.9836,0.0039,0.0,0.0,0.0124,0.9876,3.9905,0.9874,4.4522,9.975,4.4517,0.9876,3.4423,0.8517,4.4522,8.8666,4.0508,2.3298E-4,0.001,0.002
5,0.9824,0.0049,0.0,0.0,0.0127,0.9873,4.992,0.9871,5.4396,14.967,5.4388,0.9873,4.1807,0.8267,5.4396,13.0474,4.8774,2.10125E-4,0.001,0.002
6,0.9812,0.0059,0.0,0.0,0.0129,0.9871,5.9945,0.9868,6.4267,20.9615,6.4256,0.9871,4.8741,0.8024,6.4267,17.9214,5.6798,1.99389E-4,0.001,0.002
7,0.98,0.0069,0.0,0.0,0.0131,0.9869,6.9973,0.9866,7.4136,27.9588,7.4122,0.9869,5.5237,0.7788,7.4136,23.4451,6.4586,2.02208E-4,0.001,0.002
8,0.9789,0.0078,0.0,0.0,0.0133,0.9867,7.9998,0.9863,8.4003,35.9586,8.3985,0.9867,6.1312,0.7559,8.4003,29.5763,7.2146,2.21035E-4,0.001,0.002
9,0.9777,0.0088,1.0E-4,0.0,0.0135,0.9865,9.0014,0.9861,9.3868,44.96,9.3846,0.9865,6.6979,0.7337,9.3868,36.2743,7.9483,2.57588E-4,0.001,0.002
10,0.9764,0.0097,1.0E-4,0.0,0.0137,0.9862,10.0016,0.9857,10.3731,54.9616,10.3703,0.9862,7.2253,0.7121,10.3731,43.4996,8.6604,3.1199E-4,0.001,0.002
11,0.9752,0.0107,1.0E-4,0.0,0.014,0.9859,10.9995,0.9854,11.359,65.9611,11.3557,0.9859,7.7148,0.6911,11.359,51.2144,9.3515,3.82644E-4,0.001,0.002
12,0.9738,0.0116,1.0E-4,0.0,0.0144,0.9855,11.9947,0.9849,12.3445,77.9558,12.3406,0.9855,8.1678,0.6707,12.3445,59.3822,10.0222,4.66559E-4,0.001,0.002
13,0.9724,0.0126,1.0E-4,1.0E-4,0.0149,0.9851,12.9865,0.9844,13.3296,90.9423,13.3251,0.9851,8.5856,0.6508,13.3296,67.9678,10.673,5.59891E-4,0.001,0.002
14,0.9709,0.0135,1.0E-4,1.0E-4,0.0154,0.9845,13.9743,0.9838,14.3141,104.9166,14.3089,0.9845,8.9696,0.6315,14.3141,76.9374,11.3045,6.58481E-4,0.001,0.002
15,0.9692,0.0145,1.0E-4,1.0E-4,0.0161,0.9838,14.9577,0.9831,15.2979,119.8743,15.292,0.9838,9.3211,0.6126,15.2979,86.2585,11.9171,7.58313E-4,0.001,0.002
16,0.9675,0.0154,1.0E-4,1.0E-4,0.0168,0.9831,15.936,0.9823,16.281,135.8103,16.2742,0.9831,9.6416,0.5943,16.281,95.9001,12.5114,8.55822E-4,0.001,0.002
17,0.9657,0.0163,1.0E-4,1.0E-4,0.0177,0.9822,16.9091,0.9814,17.2632,152.7194,17.2556,0.9822,9.9323,0.5765,17.2632,105.8324,13.0879,9.48083E-4,0.001,0.002
18,0.9639,0.0172,2.0E-4,1.0E-4,0.0186,0.9813,17.8766,0.9804,18.2444,170.596,18.236,0.9813,10.1948,0.5591,18.2444,116.0272,13.647,0.001032881,0.001,0.002
19,0.9619,0.0181,2.0E-4,2.0E-4,0.0196,0.9802,18.8382,0.9793,19.2247,189.4343,19.2153,0.9802,10.4303,0.5422,19.2247,126.4575,14.1892,0.001108709,0.003,0.006
20,0.958,0.0209,2.0E-4,2.0E-4,0.0207,0.9791,21.9537,0.978,20.2038,211.3879,20.1933,0.9791,11.8012,0.5257,20.2038,138.2587,14.7149,0.001174706,0.003,0.006
21,0.954,0.0236,3.0E-4,2.0E-4,0.0218,0.9779,25.0523,0.9767,21.1817,236.4402,21.17,0.9779,13.0746,0.5097,21.1817,151.3333,15.2246,0.001230573,0.003,0.006
22,0.9499,0.0263,4.0E-4,3.0E-4,0.0231,0.9767,28.1308,0.9753,22.1583,264.571,22.1452,0.9767,14.2536,0.4942,22.1583,165.5869,15.7188,0.001276472,0.003,0.006
23,0.9459,0.029,5.0E-4,3.0E-4,0.0243,0.9754,31.1864,0.9738,23.1337,295.7574,23.1191,0.9754,15.3417,0.4791,23.1337,180.9286,16.1979,0.001312929,0.003,0.006
