Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.4854,0.5,0.0,0.4854,0.011356002,0.001,0.002
1,0.9876,0.001,0.0,0.0,0.0114,0.9886,1.08,0.9886,1.4886,1.08,1.4886,0.9886,1.018,0.9318,1.4886,1.018,1.4173,4.80922E-4,0.001,0.002
2,0.9862,0.002,0.0,0.0,0.0118,0.9882,2.1522,0.9881,2.4768,3.2322,2.4767,0.9882,1.9695,0.9042,2.4768,2.9875,2.3215,3.3497E-4,0.001,0.002
3,0.9849,0.003,0.0,0.0,0.0122,0.9878,3.2275,0.9877,3.4646,6.4597,3.4644,0.9878,2.8676,0.8775,3.4646,5.8552,3.1991,2.70402E-4,0.001,0.002
4,0.9836,0.0039,0.0,0.0,0.0124,0.9876,4.3054,0.9874,4.4522,10.7651,4.4517,0.9876,3.7139,0.8517,4.4522,9.5691,4.0508,2.3298E-4,0.001,0.002
5,0.9824,0.0049,0.0,0.0,0.0127,0.9873,5.3851,0.9871,5.4396,16.1503,5.4388,0.9873,4.51,0.8267,5.4396,14.079,4.8774,2.10125E-4,0.001,0.002
6,0.9812,0.0059,0.0,0.0,0.0129,0.9871,6.4661,0.9868,6.4267,22.6164,6.4256,0.9871,5.2575,0.8024,6.4267,19.3366,5.6798,1.99389E-4,0.001,0.002
7,0.98,0.0069,0.0,0.0,0.0131,0.9869,7.5477,0.9866,7.4136,30.164,7.4122,0.9869,5.9582,0.7788,7.4136,25.2948,6.4586,2.02208E-4,0.001,0.002
8,0.9789,0.0078,0.0,0.0,0.0133,0.9867,8.6293,0.9863,8.4003,38.7933,8.3986,0.9867,6.6136,0.7559,8.4003,31.9084,7.2146,2.21035E-4,0.001,0.002
9,0.9777,0.0088,1.0E-4,0.0,0.0135,0.9865,9.7103,0.9861,9.3868,48.5036,9.3846,0.9865,7.2254,0.7337,9.3868,39.1337,7.9483,2.57588E-4,0.001,0.002
10,0.9764,0.0097,1.0E-4,0.0,0.0137,0.9862,10.7902,0.9857,10.3731,59.2937,10.3704,0.9862,7.795,0.7121,10.3731,46.9288,8.6604,3.1199E-4,0.001,0.002
11,0.9752,0.0107,1.0E-4,0.0,0.014,0.9859,11.8681,0.9854,11.359,71.1619,11.3557,0.9859,8.3241,0.6911,11.359,55.2529,9.3515,3.82644E-4,0.001,0.002
12,0.9738,0.0116,1.0E-4,0.0,0.0144,0.9855,12.9436,0.9849,12.3445,84.1055,12.3407,0.9855,8.814,0.6707,12.3445,64.0668,10.0222,4.66559E-4,0.001,0.002
